12:23:54.151162 IP localhost.65283 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.152753 IP localhost.6403 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.154049 IP localhost.8397 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.155350 IP localhost.18364 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.156726 IP localhost.50258 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.157921 IP localhost.60030 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.158999 IP localhost.43989 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.160160 IP localhost.11186 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.161249 IP localhost.38231 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.162295 IP localhost.34103 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.163244 IP localhost.21482 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.164254 IP localhost.9235 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.165202 IP localhost.11861 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.166266 IP localhost.24980 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.167147 IP localhost.25138 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.167960 IP localhost.17066 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.168884 IP localhost.17613 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.169695 IP localhost.62110 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.170467 IP localhost.51437 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
12:23:54.171279 IP localhost.35846 > ubuntu.12000: Flags [S], seq 0:1024, win 8192, length 1024
